run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,integrated_stimulus,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_congruency.rt,key_resp_congruency.duration,runs_trial.thisRepN,runs_trial.thisTrialN,runs_trial.thisN,runs_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,blank2000.started,text_2.started,text_2.stopped,blank2000.stopped,get_run_stim_list.started,get_run_stim_list.stopped,integrated_scene_presentation.started,image_integrated.started,integrated_scene_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,congruency_response.stopped,trials.key_resp_congruency.keys,trials.key_resp_congruency.corr,trials.key_resp_congruency.rt,trials.key_resp_congruency.duration,blank1000.started,text_8.started,blank1000.stopped,text_8.stopped,text_congruency.stopped,key_resp_congruency.stopped,participant,session,group,delay,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,16,16,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Malbow,stimuli/items/jungle_object_1.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_1.jpg,q,0,0.4778060409007594,None,0,0,0,0,0,16,16,16,74.20909616700374,,,,,,,,,,,,,,,,,,,,,,,,74.20274029194843,74.20909616700374,75.17665325000416,75.17672141699586,75.18435933405999,75.18435933405999,75.67057058401406,q,0,0.4778060409007594,None,75.67075345898047,75.68243562499993,76.6695479999762,77.69124408403877,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,17,17,0,stimuli/TESTscenes/UB_1.jpg,Undersea,Negvi,stimuli/items/jungle_object_15.png,Jungle,object,si,stimuli/integrated/undersea_a_jungle_object_15.jpg,q,1,0.3524204579880461,None,0,0,0,0,0,17,17,17,77.69124408403877,,,,,,,,,,,,,,,,,,,,,,,,77.68568587501068,77.69124408403877,78.67605616699439,78.67615854204632,78.6847168749664,78.6847168749664,79.04297154198866,q,1,0.3524204579880461,None,79.04307574999984,79.05401091696694,80.04217324999627,80.0851480839774,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,18,18,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/jungle_object_38.png,Jungle,object,si,stimuli/integrated/undersea_a_jungle_object_38.jpg,p,0,0.40435579093173146,None,0,0,0,0,0,18,18,18,80.0851480839774,,,,,,,,,,,,,,,,,,,,,,,,80.0792108749738,80.0851480839774,82.05210662505124,82.05222508404404,82.05869287496898,82.05869287496898,82.47053175000474,p,0,0.40435579093173146,None,82.47076120902784,82.48427050001919,83.4687277500052,83.51034958404489,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,19,19,0,stimuli/TESTscenes/UB_1.jpg,Undersea,Negvi,stimuli/items/undersea_animal_19.png,Undersea,animal,sc,stimuli/integrated/undersea_a_undersea_animal_19.jpg,None,0,,,0,0,0,0,0,19,19,19,83.51034958404489,,,,,,,,,,,,,,,,,,,,,,,,83.50508583395276,83.51034958404489,85.47465879202355,85.47473524999805,85.4850560000632,85.4850560000632,86.468975875061,None,0,,,86.46908891701605,86.47464687505271,87.45747954200488,88.53138095897157,86.47464687505271,86.47464687505271,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,20,20,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Malbow,stimuli/items/undersea_animal_5.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_5.jpg,p,0,0.6276046250713989,None,0,0,0,0,0,20,20,20,88.53138095897157,,,,,,,,,,,,,,,,,,,,,,,,88.52477554196957,88.53138095897157,89.47478837496601,89.47487733396702,89.48512962495442,89.48512962495442,90.12077545898501,p,0,0.6276046250713989,None,90.12092887505423,90.13260479201563,91.11910245905165,91.1588222499704,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,21,21,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/jungle_animal_19.png,Jungle,animal,si,stimuli/integrated/undersea_b_jungle_animal_19.jpg,p,0,0.4746199579676613,None,0,0,0,0,0,21,21,21,91.1588222499704,,,,,,,,,,,,,,,,,,,,,,,,91.1533853339497,91.1588222499704,93.12399075005669,93.12406612501945,93.1351755419746,93.1351755419746,93.62040050001815,p,0,0.4746199579676613,None,93.6205149589805,93.6310649169609,94.61883745901287,95.82005670899525,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,22,22,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_animal_40.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_40.jpg,p,0,0.6735612499760464,None,0,0,0,0,0,22,22,22,95.82005670899525,,,,,,,,,,,,,,,,,,,,,,,,95.81246766704135,95.82005670899525,96.62543662497774,96.62553241697606,96.63504237495363,96.63504237495363,97.3206413340522,p,0,0.6735612499760464,None,97.32079829205759,97.33280350000132,98.31857595895417,99.4016385419527,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,23,23,0,stimuli/TESTscenes/JB_1.jpg,Jungle,Malbow,stimuli/items/undersea_object_2.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_2.jpg,None,0,,,0,0,0,0,0,23,23,23,99.4016385419527,,,,,,,,,,,,,,,,,,,,,,,,99.39618325000629,99.4016385419527,100.3255051249871,100.32560183398891,100.33546974998899,100.33546974998899,101.31896299996879,None,0,,,101.31902837497182,101.32349874998908,102.30779137497302,102.3462837090483,101.32349874998908,101.32349874998908,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,24,24,0,stimuli/TESTscenes/UA_1.jpg,Undersea,Somar,stimuli/items/jungle_object_8.png,Jungle,object,si,stimuli/integrated/undersea_b_jungle_object_8.jpg,None,0,,,0,0,0,0,0,24,24,24,102.3462837090483,,,,,,,,,,,,,,,,,,,,,,,,102.34082804201171,102.3462837090483,104.32494933402631,104.32503570895642,104.3350772500271,104.3350772500271,105.31892191700172,None,0,,,105.31905329204164,105.32494225003757,106.31869345903397,107.31492529204115,105.32494225003757,105.32494225003757,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
1,25,25,0,stimuli/TESTscenes/JA_1.jpg,Jungle,Tulon,stimuli/items/undersea_animal_7.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_7.jpg,p,0,0.6266589999431744,None,0,0,0,0,0,25,25,25,107.31492529204115,,,,,,,,,,,,,,,,,,,,,,,,107.30958416697104,107.31492529204115,108.32488858397119,108.3249725420028,108.33513795898762,108.33513795898762,108.96977716695983,p,0,0.6266589999431744,None,108.9699095840333,108.9808244589949,109.968909624964,111.06776100001298,,,550,001,,,2026-03-30_22h27.06.691,encodingtask,,2025.2.4,None,2026-03-30 22h27.07.004782 +0200,
