scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,1,2,2,0,scenes_group1.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JA_3.png,Tulon,This scene is a scene from a jungle named,space,0.13339179096510634,None,,,,,,,,,,,,,,0,3,3,0,0,2,2,2,,,,,,,,,32.79672074998962,,,,,,,,,,,,,,,,,,32.788765167002566,32.79672074998962,32.79672074998962,32.79672074998962,32.79672074998962,33.74099045799812,33.88370499998564,space,0.13339179096510634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,3,3,0,scenes_group1.xlsx,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.886410792008974,33.899360042007174,33.899360042007174,35.40235408296576,space,1.497118707979098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,0,0,0,,,,,,,,JA,TESTstimuli/TESTscenes/JA_1.jpg,TESTstimuli/TESTscenes/JA_2.jpg,TESTstimuli/TESTscenes/JA_3.jpg,Tulon,space,1.4289183749933727,None,,,,,,,,,,,,,,0,0,0,0,,,,,35.7073688749806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69752304197755,35.7073688749806,35.7073688749806,35.7073688749806,35.7073688749806,35.7073688749806,37.13806454197038,space,1.4289183749933727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,1,1,0,,,,,,,,UA,TESTstimuli/TESTscenes/UA_1.jpg,TESTstimuli/TESTscenes/UA_2.jpg,TESTstimuli/TESTscenes/UA_3.jpg,Negvi,space,1.5846032910048962,None,,,,,,,,,,,,,,0,1,1,2,,,,,37.263740582973696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.256228624959476,37.263740582973696,37.263740582973696,37.263740582973696,37.263740582973696,37.263740582973696,38.85211287497077,space,1.5846032910048962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,2,2,0,,,,,,,,UB,TESTstimuli/TESTscenes/UB_1.jpg,TESTstimuli/TESTscenes/UB_2.jpg,TESTstimuli/TESTscenes/UB_3.jpg,Somar,space,1.3922400000155903,None,,,,,,,,,,,,,,0,2,2,3,,,,,38.97595937497681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.96880912501365,38.97595937497681,38.97595937497681,38.97595937497681,38.97595937497681,38.97595937497681,40.375132541987114,space,1.3922400000155903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,3,3,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,Malbow,space,2.020988541014958,None,,,,,,,,,,,,,,0,3,3,1,,,,,40.49423683300847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.48572104197228,40.49423683300847,40.49423683300847,40.49423683300847,40.49423683300847,40.49423683300847,42.51699666696368,space,2.020988541014958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51727320801001,42.52946549997432,42.52946549997432,44.16863904200727,space,1.627618208003696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.39028187497752,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,44.401279957965016,49.34194408298936,space,4.9340144579764456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34203020797577,49.35240195796359,49.35240195796359,50.70206824998604,space,1.337548791023437,None,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.906840041978285,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,50.918977041961625,54.34037799999351,space,3.417841207992751,None,,,,,,,,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.340466832974926,54.349402332969476,54.349402332969476,56.65772045799531,space,2.3034568749717437,None,,,,10,001,2026-03-11_23h41.12.529,TEST_training_task,,2025.2.4,None,2026-03-11 23h41.13.736626 +0100,
,,,4,0,0,0,,TESTstimuli/TESTscenes/UB_1.jpg,,,,,,,,,,,,,,Somar,,,,,,,,,,,,,,,,,0,0,0,9,56.9797664170037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.97216383297928,56.9797664170037,57.66706083295867,,,,,,,,,
