scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,key_rate_2.keys,key_rate_2.corr,key_rate_2.rt,key_rate_2.duration,key_question_2.keys,key_question_2.corr,key_question_2.rt,key_question_2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,skip_loop.thisRepN,skip_loop.thisTrialN,skip_loop.thisN,skip_loop.thisIndex,loop_msg.thisRepN,loop_msg.thisTrialN,loop_msg.thisN,loop_msg.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,p3_rate.stopped,p3_vis_loop.key_rate_2.keys,p3_vis_loop.key_rate_2.corr,p3_vis_loop.key_rate_2.rt,p3_vis_loop.key_rate_2.duration,p3_question.started,text_question_2.started,text_option_2.started,key_question_2.started,text_5.started,p3_question.stopped,p3_vis_loop.key_question_2.keys,p3_vis_loop.key_question_2.corr,p3_vis_loop.key_question_2.rt,p3_vis_loop.key_question_2.duration,text.stopped,text_p3_visualize.stopped,textbox_scene_name_2.stopped,p3_correct_msg.started,text_next_scene_2.started,p3_correct_msg.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,1,1,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,4.033390333002899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,24.70784874999663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.698359999980312,24.70784874999663,24.70784874999663,24.70784874999663,24.70784874999663,24.70784874999663,28.74365891702473,space,4.033390333002899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,2,2,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,3.477453541010618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,28.79877170798136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.79006941698026,28.79877170798136,28.79877170798136,28.79877170798136,28.79877170798136,28.79877170798136,32.28288529202109,space,3.477453541010618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,3,3,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,4.560194457997568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,32.34653287497349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.337931792018935,32.34653287497349,32.34653287497349,32.34653287497349,32.34653287497349,32.34653287497349,36.911090833018534,space,4.560194457997568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.911527707998175,36.9236787079717,36.9236787079717,39.46733287500683,space,2.5416198750026524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.546838374983054,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,39.55798370798584,46.02615504199639,space,6.464630999951623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.02624300000025,46.037324416975025,46.037324416975025,46.710615666990634,space,0.6609090829733759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.792863707989454,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,46.80277979199309,47.82658191700466,space,1.022530624002684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8266669579898,47.832520207972266,47.832520207972266,48.71174391702516,space,0.8717797910212539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,1,0,0,0,,TESTstimuli/TESTscenes/JA_1.jpg,,,,,,,,,,,,,,Tulon,1,1,0.39525170798879117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,49.03362133301562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02638825000031,49.03362133301562,49.71576350001851,49.726321708003525,49.73301333299605,49.73301333299605,50.13327762502013,1,1,0.39525170798879117,None,50.13721712498227,50.14714658301091,51.166825250023976,51.13173879199894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,2,1,1,0,,TESTstimuli/TESTscenes/JB_3.jpg,,,,,,,,,,,,,,Malbow,2,1,0.2476644999696873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,51.166825250023976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.161897042009514,51.166825250023976,52.142714167013764,52.14283583301585,52.14851324999472,52.14851324999472,52.39991375000682,2,1,0.2476644999696873,None,52.400121957995,52.41141304199118,53.42884091701126,53.39868983300403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,1,2,2,0,,TESTstimuli/TESTscenes/JA_2.jpg,,,,,,,,,,,,,,Tulon,3,0,0.7047225409769453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,53.42884091701126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42359274998307,53.42884091701126,54.40912120800931,54.40937012498034,54.41541920800228,54.41541920800228,55.1275291669881,3,0,0.7047225409769453,None,55.13229500001762,55.142859207990114,56.15192712499993,56.12611637497321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,4,3,3,0,,TESTstimuli/TESTscenes/UB_2.jpg,,,,,,,,,,,,,,Somar,4,1,0.30579258303623646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,56.15192712499993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.14694183302345,56.15192712499993,57.132311832974665,57.132431374979205,57.14220254198881,57.14220254198881,57.46097833302338,4,1,0.30579258303623646,None,57.46562575001735,57.476693207980134,,58.464999167015776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,2,4,4,0,,TESTstimuli/TESTscenes/JB_1.jpg,,,,,,,,,,,,,,Malbow,2,1,0.4040892489720136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,58.491915124992374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48695958300959,58.491915124992374,59.46494087501196,59.4650565420161,59.47585120797157,59.47585120797157,59.883609624987,2,1,0.4040892489720136,None,59.88377466698876,59.89522654202301,60.906268333026674,60.88081645802595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,4,5,5,0,,TESTstimuli/TESTscenes/UB_3.jpg,,,,,,,,,,,,,,Somar,4,1,0.6027346670161933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,60.906268333026674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.90109687502263,60.906268333026674,61.89228999998886,61.89243725000415,61.89812487497693,61.89812487497693,62.510660792002454,4,1,0.6027346670161933,None,62.51089074998163,62.52202429197496,63.53767125000013,63.50945691700326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,1,6,6,0,,TESTstimuli/TESTscenes/JA_3.jpg,,,,,,,,,,,,,,Tulon,1,1,0.2662959159933962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,63.53767125000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.532727457990404,63.53767125000013,64.51476820802782,64.51490295800613,64.52559325000038,64.52559325000038,64.79438633297104,1,1,0.2662959159933962,None,64.79464004200418,64.80547004198888,65.81933683302486,65.79289933299879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,3,7,7,0,,TESTstimuli/TESTscenes/UA_3.jpg,,,,,,,,,,,,,,Negvi,3,1,0.320857040991541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,65.81933683302486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8143174169818,65.81933683302486,66.79880425002193,66.79893133300357,66.80892375000985,66.80892375000985,67.1327479580068,3,1,0.320857040991541,None,67.13587779202498,67.1458527080249,68.14146379200974,68.13192533300025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.13212987501174,68.14146379200974,68.14146379200974,71.116087124974,space,2.9692913739709184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,2,How did the lighting appear overall?,"1. Dim and bluish 
2. Bright and strong rays
3. Warm and golden",1,Malbow,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,3,0,2.0379395830095746,None,1,1,2.3365731660160236,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,71.17775762500241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11697233299492,71.11706162500195,71.16491391701857,71.16499245801242,71.16501741699176,71.17775762500241,72.16521279199515,72.20209983299719,72.21269150002627,72.21269150002627,76.16513416700764,76.16519304201938,76.17563320801128,76.17563320801128,78.21624941698974,3,0,2.0379395830095746,None,78.23244758299552,78.24285495799268,78.24285495799268,0.016130167001392692,78.24285495799268,80.57717499998398,1,1,2.3365731660160236,None,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,0,What material primarily covered the ground?,"1. Fine white sand
2. Pebbles and small rocks
3. Flat stone slabs",2,Malbow,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,3,0,0.9129174160188995,None,2,1,1.0989676660392433,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,80.62557233299594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.61938975000521,80.61946224997519,80.61948499997379,80.62557233299594,81.60950054199202,81.6111331669963,81.62217554199742,81.62217554199742,85.60910712502664,85.60914420802146,85.6128203329863,85.6128203329863,86.5269551249803,3,0,0.9129174160188995,None,86.54137395799626,86.5499415419763,86.5499415419763,0.014349124976433814,86.5499415419763,87.64397087501129,2,1,1.0989676660392433,None,81.62217554199742,85.6128203329863,85.6128203329863,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,3,How did the ground look?,"1. Completely covered with rocks
 2. Mostly sandy with some rocks 
3. Covered with rocks except in the middle
4. Covered with rocks except on the sides",4,Malbow,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,3,0,0.940650666016154,None,4,1,2.432940124999732,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,87.6933791670017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.68761587498011,87.68768512498355,87.68770741700428,87.6933791670017,88.67610149999382,88.67740225000307,88.68820008297917,88.68820008297917,92.67558412498329,92.6756216249778,92.67919408297166,92.67919408297166,93.62749662500573,3,0,0.940650666016154,None,93.6444021249772,93.65325583302183,93.65325583302183,0.01673375000245869,93.65325583302183,96.08315787499305,4,1,2.432940124999732,None,88.68820008297917,92.67919408297166,92.67919408297166,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,1,What was the color of seaweed in the scene?,"1.  Green-yellow
2. Reddish.
3. Dark green",1,Malbow,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,3,0,1.6898018750362098,None,1,1,1.132276666990947,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,96.13203333300771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.12617699999828,96.12625458301045,96.12627754197456,96.13203333300771,97.11508987500565,97.11603895801818,97.12737670802744,97.12737670802744,101.1149245420238,101.11495737498626,101.12526975001674,101.12526975001674,102.81649166700663,3,0,1.6898018750362098,None,102.82923733297503,102.83764466701541,102.83764466701541,0.012683457985986024,102.83764466701541,103.96625424997183,1,1,1.132276666990947,None,97.12737670802744,101.12526975001674,101.12526975001674,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,103.98309125000378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.97293450002326,103.98309125000378,105.97616920800647,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,3,How open did the underwater space feel?,"1. Wide and open with lots of clear space between features
2. Very crowded with dense coral structures everywhere
3. Narrow and enclosed with plants surrounding the view",1,Tulon,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,3,0,2.3683222079998814,None,1,1,2.9739687080145814,None,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,3,,,,,,,,,106.02824125002371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.97848383302335,105.97863129200414,106.02430637500947,106.0243698330014,106.02439416700508,106.02824125002371,107.01525300001958,107.03332058299566,107.04124833300011,107.04124833300011,111.0253650000086,111.02543308300665,111.02899029199034,111.02899029199034,113.3992952919798,3,0,2.3683222079998814,None,113.41679791698698,113.42538179201074,113.42538179201074,0.017434207955375314,113.42538179201074,116.39294733299175,1,1,2.9739687080145814,None,107.04124833300011,,,,,,355,001,2026-04-26_18h54.47.148,TEST_training_task,,2025.2.4,2026-04-26 18h54.48.184480 +0200,
,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,1,How did the water look like?,"1. Clear blue water with bright sunlight streaming through.
2. Murky and greenish with low visibility.
3. Slightly cloudy with muted light and no strong sun rays",1,Tulon,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,116.44111470802454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.4346593330265,116.43473404197721,116.43475670798216,116.44111470802454,117.4258015829837,117.42679229198257,117.43715670797974,117.43715670797974,,,,,,,,,,,,,,,,,,,,117.43715670797974,,,,,,,,,,,,,
