scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,2,2,2,0,scenes_group2.xlsx,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,This is a scene from a jungle named,space,0.04452341597061604,None,,,,,,,,,,,,,,0,3,3,1,0,2,2,2,,,,,,,,,27.864727666950785,,,,,,,,,,,,,,,,,,27.856750292005017,27.864727666950785,27.864727666950785,27.864727666950785,27.864727666950785,28.799208375043236,28.851818792056292,space,0.04452341597061604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,3,3,0,scenes_group2.xlsx,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85458133299835,28.865975124994293,28.865975124994293,29.98539066698868,space,1.1146426239283755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,0,0,0,,,,,,,,UA,TESTstimuli/TESTscenes/UA_1.jpg,TESTstimuli/TESTscenes/UA_2.jpg,TESTstimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,1.425561457988806,None,,,,,,,,,,,,,,0,0,0,2,,,,,30.15496349998284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.144721791963093,30.15496349998284,30.15496349998284,30.15496349998284,30.15496349998284,30.15496349998284,31.584876124979928,space,1.425561457988806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,1,1,0,,,,,,,,JB,TESTstimuli/TESTscenes/JB_1.jpg,TESTstimuli/TESTscenes/JB_2.jpg,TESTstimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,1.511086581973359,None,,,,,,,,,,,,,,0,1,1,1,,,,,31.701515957945958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.694555041962303,31.701515957945958,31.701515957945958,31.701515957945958,31.701515957945958,31.701515957945958,33.21900270797778,space,1.511086581973359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,2,2,0,,,,,,,,UB,TESTstimuli/TESTscenes/UB_1.jpg,TESTstimuli/TESTscenes/UB_2.jpg,TESTstimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,5.567029581987299,None,,,,,,,,,,,,,,0,2,2,3,,,,,33.35059425001964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34322408295702,33.35059425001964,33.35059425001964,33.35059425001964,33.35059425001964,33.35059425001964,38.9258755419869,space,5.567029581987299,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,3,3,0,,,,,,,,JA,TESTstimuli/TESTscenes/JA_1.jpg,TESTstimuli/TESTscenes/JA_2.jpg,TESTstimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,2.532376499962993,None,,,,,,,,,,,,,,0,3,3,0,,,,,39.220781167037785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21050666703377,39.220781167037785,39.220781167037785,39.220781167037785,39.220781167037785,39.220781167037785,41.75984337495174,space,2.532376499962993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.76006958296057,41.7717027500039,41.7717027500039,43.75184174999595,space,1.9764752489281818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9664171669865,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,43.97725229198113,47.57520341698546,space,3.590694083017297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.575281125027686,47.600502958055586,47.600502958055586,48.451758833019994,space,0.8395281659904867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66394095798023,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,48.67450258298777,52.51711820799392,space,3.8384717910084873,None,,,,,,,,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51722054195125,52.52627304196358,52.52627304196358,53.82424012501724,space,1.2946276249131188,None,,,,,,,255,001,2026-03-16_15h11.45.775,TEST_training_task,,2025.2.4,None,2026-03-16 15h11.47.024508 +0100,
