scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,text_part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,key_part3_instructions_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,2,2,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,0.12988633301574737,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,15.536489124991931,,,,,,,,,,,,,,,,,,15.528545041917823,15.536489124991931,15.536489124991931,15.536489124991931,15.536489124991931,16.479321916936897,16.61402499990072,space,0.12988633301574737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,0.5999439159641042,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,16.66425462497864,,,,,,,,,,,,,,,,,,16.65633795899339,16.66425462497864,16.66425462497864,16.66425462497864,16.66425462497864,17.617148749995977,18.219541833968833,space,0.5999439159641042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,0.06279654207173735,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,18.268994083977304,,,,,,,,,,,,,,,,,,18.26097345899325,18.268994083977304,18.268994083977304,18.268994083977304,18.268994083977304,19.211377041996457,19.27949112490751,space,0.06279654207173735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,3,3,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28223441692535,19.293240999919362,19.293240999919362,20.214317666948773,space,0.9107650420628488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,0,0,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,0.8848117500310764,None,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,20.431237916927785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42231945891399,20.431237916927785,20.431237916927785,20.431237916927785,20.431237916927785,20.431237916927785,21.320474249892868,space,0.8848117500310764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,1,1,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,0.9483234160579741,None,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,21.609781958977692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.599638249957934,21.609781958977692,21.609781958977692,21.609781958977692,21.609781958977692,21.609781958977692,22.564587666885927,space,0.9483234160579741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,2,2,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,1.1451598750427365,None,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,22.70679183397442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.696911791921593,22.70679183397442,22.70679183397442,22.70679183397442,22.70679183397442,22.70679183397442,23.85411708394531,space,1.1451598750427365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,3,3,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,1.1475180829875171,None,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,24.003494208911434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.994406374986283,24.003494208911434,24.003494208911434,24.003494208911434,24.003494208911434,24.003494208911434,25.15448770893272,space,1.1475180829875171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.154711291892454,25.166086083976552,25.166086083976552,26.920285999891348,space,1.7498220420675352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15291024988983,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,27.165063749998808,28.081084791920148,space,0.9107917079236358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.081187541945837,28.094175041886047,28.094175041886047,29.303931958973408,space,1.2066282089799643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.635935083962977,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,29.64941554190591,30.820243583992124,space,1.1633209999417886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.820330083952285,30.8286280418979,30.8286280418979,31.864126999978907,space,1.0281022919807583,None,,,,,,,,,,,,,,,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
,,,3,0,0,0,,TESTstimuli/TESTscenes/UA_2.jpg,,,,,,,,,,,,,,Negvi,3,1,1.2581594589864835,None,,,,,,,,,,,,,,,,,0,0,0,7,32.206661041942425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.19867854192853,32.206661041942425,32.868953458964825,32.87888912495691,32.88567124994006,32.88567124994006,34.14838170888834,3,1,1.2581594589864835,None,34.15351012488827,34.16552312497515,35.1526627499843,,,,,,510,001,2026-03-29_17h51.02.356,TEST_training_task,,2025.2.4,None,2026-03-29 17h51.03.357345 +0200,
