scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,3,2,2,0,scenes_group3.xlsx,stimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,This is a scene from a sea named,space,1.0078095409553498,None,,,,,,,,,,,,,0,3,3,2,0,2,2,2,,,,,43.97677583398763,,,,,,,,,,,,,,,,,,43.97011900000507,43.97677583398763,43.97677583398763,43.97677583398763,43.97677583398763,43.97677583398763,44.991592500009574,space,1.0078095409553498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,3,3,0,scenes_group3.xlsx,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.99446679203538,45.005542125029024,45.005542125029024,46.109136792016216,space,1.1009131250320934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,0,0,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,3.0747968750074506,None,,,,,,,,,,,,,0,0,0,2,46.20763050002279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1978747920366,46.20763050002279,46.20763050002279,46.20763050002279,46.20763050002279,46.20763050002279,49.291905709018465,space,3.0747968750074506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,1,1,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,1.97762891597813,None,,,,,,,,,,,,,0,1,1,1,49.356692792032845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.34797454200452,49.356692792032845,49.356692792032845,49.356692792032845,49.356692792032845,49.356692792032845,51.34209854202345,space,1.97762891597813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,2,2,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,1.5724085419788025,None,,,,,,,,,,,,,0,2,2,3,51.39988895901479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.391297750000376,51.39988895901479,51.39988895901479,51.39988895901479,51.39988895901479,51.39988895901479,52.97531820903532,space,1.5724085419788025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,3,3,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,2.4036945000407286,None,,,,,,,,,,,,,0,3,3,0,53.03654775000177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.02819325000746,53.03654775000177,53.03654775000177,53.03654775000177,53.03654775000177,53.03654775000177,55.44842712499667,space,2.4036945000407286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.448650250036735,55.46043249999639,55.46043249999639,56.414379374997225,space,0.9477726250188425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.49124549998669,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,56.5029792090063,57.32348212500801,space,0.8162716669612564,None,,,,,,,,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3235848339973,57.33295404200908,57.33295404200908,57.99213658401277,space,0.6542513329768553,None,,,,,,,,,,,,,,,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.072152250038926,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.08398200001102,58.6074510840117,space,0.5192602919996716,None,,,,358,001,2026-04-26_23h08.21.726,TEST_training_task,,2025.2.4,2026-04-26 23h08.22.777994 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.60755395900924,58.61804941704031,58.61804941704031,,,,,,,,
