scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,1.0390038740006275,None,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,40.775853500002995,,,,,,,,,,,,,,,,,,40.76870054198662,40.775853500002995,40.775853500002995,40.775853500002995,40.775853500002995,40.775853500002995,41.820569542003796,space,1.0390038740006275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,3,3,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.82373450003797,41.834549791994505,41.834549791994505,43.176417125039734,space,1.3393074159976095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,0,0,0,,,,,,,,UB,stimuli/TESTscenes/UB_1.jpg,stimuli/TESTscenes/UB_2.jpg,stimuli/TESTscenes/UB_3.jpg,scene_UB_lbl,space,4.8440379580133595,None,,,,,,,,,,,,,,0,0,0,3,,,,,43.26847624999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.26040737499716,43.26847624999937,43.26847624999937,43.26847624999937,43.26847624999937,43.26847624999937,48.12071179202758,space,4.8440379580133595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,1,1,0,,,,,,,,JB,stimuli/TESTscenes/JB_1.jpg,stimuli/TESTscenes/JB_2.jpg,stimuli/TESTscenes/JB_3.jpg,scene_JB_lbl,space,0.7962641659541987,None,,,,,,,,,,,,,,0,1,1,1,,,,,48.18598808301613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.17657166701974,48.18598808301613,48.18598808301613,48.18598808301613,48.18598808301613,48.18598808301613,48.98760366701754,space,0.7962641659541987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,2,2,0,,,,,,,,JA,stimuli/TESTscenes/JA_1.jpg,stimuli/TESTscenes/JA_2.jpg,stimuli/TESTscenes/JA_3.jpg,scene_JA_lbl,space,0.9191570410039276,None,,,,,,,,,,,,,,0,2,2,0,,,,,49.051981208031066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.04283849999774,49.051981208031066,49.051981208031066,49.051981208031066,49.051981208031066,49.051981208031066,49.97752708301414,space,0.9191570410039276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,3,3,0,,,,,,,,UA,stimuli/TESTscenes/UA_1.jpg,stimuli/TESTscenes/UA_2.jpg,stimuli/TESTscenes/UA_3.jpg,scene_UA_lbl,space,1.245559666014742,None,,,,,,,,,,,,,,0,3,3,2,,,,,50.03058262501145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.02228129201103,50.03058262501145,50.03058262501145,50.03058262501145,50.03058262501145,50.03058262501145,51.27743158303201,space,1.245559666014742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.27766516699921,51.289062792027835,51.289062792027835,52.22078912501456,space,0.9209339579683729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.29586408298928,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,52.306674666993786,54.0189007500303,space,1.7093847490032203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.018990083015524,54.027610125020146,54.027610125020146,55.00996579200728,space,0.9794568329816684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.08729337499244,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.09973133302992,55.8201122499886,space,0.7091913330368698,None,,,,,,,,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.820192124985624,55.828303374990355,55.828303374990355,56.80972208303865,space,0.9766921660047956,None,,,,,,,350,001,2026-04-26_19h13.05.452,TEST_training_task,,2025.2.4,2026-04-26 19h13.06.501814 +0200,
,,,4,0,0,0,,TESTstimuli/TESTscenes/UB_3.jpg,,,,,,,,,,,,,,Somar,,,,,,,,,,,,,,,,,0,0,0,11,57.10151558299549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09433504199842,57.10151558299549,57.819083750015125,57.83410466701025,57.83988520799903,57.83988520799903,,,,,,,,
